Employee ID,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate,Worked Hours Week1,Worked Hours Week2,Worked Hours Week3,Worked Hours Week4,Total Work Hours,Gross Earnings,SSS Deduction,PhilHealth Deduction,Witholding Tax,Pag-Ibig Deduction,Total Deductions,Net Earnings
1Garcia,Garcia,Manuel III,10/11/1983,Valero Carpark Building Valero Street 1227 Makati City,966-860-270,44-4506057-3,820127000000,442-605-657-000,691295000000,Regular,Chief Executive Officer,N/A,90000,1500,2000,1000,45000,535.71,40,40,40,40,160,85714,500,100,1500,150,2250,83464
2Lim,Lim,Antonio,6/19/1988,San Antonio De Padua 2 Block 1 Lot 8 and 2 Dasmarinas Cavite,171-867-411,52-2061274-9,331736000000,683-102-776-000,663905000000,Regular,Chief Operating Officer,Garcia Manuel III,60000,1500,2000,1000,30000,357.14,40,40,40,40,160,57142,500,100,1500,150,2250,54892
3Aquino,Aquino,Bianca Sofia,8/4/1989,Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100 Quezon City,966-889-370,30-8870406-2,177451000000,971-711-280-000,171520000000,Regular,Chief Finance Officer,Garcia Manuel III,60000,1500,2000,1000,30000,357.14,40,40,40,40,160,57142,500,100,1500,150,2250,54892
4Reyes,Reyes,Isabella,6/16/1994,460 Solanda Street Intramuros 1000 Manila,786-868-477,40-2511815-0,341911000000,876-809-437-000,416947000000,Regular,Chief Marketing Officer,Garcia Manuel III,60000,1500,2000,1000,30000,357.14,40,40,40,40,160,57142,500,100,1500,150,2250,54892
5Hernandez,Hernandez,Eduard,9/23/1989,National Highway Gingoog  Misamis Occidental,088-861-012,50-5577638-1,957436000000,031-702-374-000,952347000000,Regular,IT Operations and Systems,Lim Antonio,52670,1500,1000,1000,26335,313.51,40,40,40,40,160,50162,500,100,1500,150,2250,47912
6Villanueva,Villanueva,Andrea Mae,2/14/1988,17/85 Stracke Via Suite 042 Poblacion Las Piñas 4783 Dinagat Islands ,918-621-603,49-1632020-8,382189000000,317-674-022-000,441093000000,Regular,HR Manager,Lim Antonio,52670,1500,1000,1000,26335,313.51,40,40,40,40,160,50162,500,100,1500,150,2250,47912
7San Jose,San Jose,Brad ,3/15/1996,99 Strosin Hills Poblacion Bislig 5340 Tawi-Tawi,797-009-261,40-2400714-1,239193000000,672-474-690-000,210850000000,Regular,HR Team Leader,Villanueva Andrea Mae,42975,1500,800,800,21488,255.8,40,40,40,40,160,40928,500,100,1500,150,2250,38678
8Romualdez,Romualdez,Alice,5/14/1992,12A/33 Upton Isle Apt. 420 Roxas City 1814 Surigao del Norte ,983-606-799,55-4476527-2,545653000000,888-572-294-000,211386000000,Regular,HR Rank and File,San Jose Brad,22500,1500,500,500,11250,133.93,40,40,40,40,160,21429,500,100,1500,150,2250,19179
9Atienza,Atienza,Rosie ,9/24/1948,90A Dibbert Terrace Apt. 190 San Lorenzo 6056 Davao del Norte,266-036-427,41-0644692-3,708988000000,604-997-793-000,260108000000,Regular,HR Rank and File,San Jose Brad,22500,1500,500,500,11250,133.93,40,40,40,40,160,21429,500,100,1500,150,2250,19179
10Alvaro,Alvaro,Roderick,3/30/1988,#284 T. Morato corner Scout Rallos Street Quezon City,053-381-386,64-7605054-4,578115000000,525-420-419-000,799254000000,Regular,Accounting Head,Aquino Bianca Sofia ,52670,1500,1000,1000,26335,313.51,40,40,40,40,160,50162,500,100,1500,150,2250,47912
11Salcedo,Salcedo,Anthony,9/14/1993,93/54 Shanahan Alley Apt. 183 Santo Tomas 1572 Masbate,070-766-300,26-9647608-3,126445000000,210-805-911-000,218002000000,Regular,Payroll Manager,Alvaro Roderick,50825,1500,1000,1000,25413,302.53,40,40,40,40,160,48405,500,100,1500,150,2250,46155
12Lopez,Lopez,Josie ,1/14/1987,49 Springs Apt. 266 Poblacion Taguig 3200 Occidental Mindoro,478-355-427,44-8563448-3,431709000000,218-489-737-000,113071000000,Regular,Payroll Team Leader,Salcedo Anthony,38475,1500,800,800,19238,229.02,40,40,40,40,160,36643,500,100,1500,150,2250,34393
13Farala,Farala,Martha,1/11/1942,42/25 Sawayn Stream Ubay 1208 Zamboanga del Norte ,329-034-366,45-5656375-0,233694000000,210-835-851-000,631130000000,Regular,Payroll Rank and File,Salcedo Anthony,24000,1500,500,500,12000,142.86,40,40,40,40,160,22858,500,100,1500,150,2250,20608
14Martinez,Martinez,Leila,7/11/1970,37/46 Kulas Roads Maragondon 0962 Quirino ,877-110-749,27-2090996-4,515741000000,275-792-513-000,101205000000,Regular,Payroll Rank and File,Salcedo Anthony,24000,1500,500,500,12000,142.86,40,40,40,40,160,22858,500,100,1500,150,2250,20608
15Romualdez,Romualdez,Fredrick ,3/10/1985,22A/52 Lubowitz Meadows Pililla 4895 Zambales,023-079-009,26-8768374-1,308367000000,598-065-761-000,223058000000,Regular,Account Manager,Lim Antonio,53500,1500,1000,1000,26750,318.45,40,40,40,40,160,50952,500,100,1500,150,2250,48702
16Mata,Mata,Christian,10/21/1987,90 O'Keefe Spur Apt. 379 Catigbian 2772 Sulu ,783-776-744,49-2959312-6,824188000000,103-100-522-000,631053000000,Regular,Account Team Leader,Romualdez Fredrick ,42975,1500,800,800,21488,255.8,40,40,40,40,160,40928,500,100,1500,150,2250,38678
17De Leon,De Leon,Selena ,2/20/1975,89A Armstrong Trace Compostela 7874 Maguindanao,975-432-139,27-2090208-8,587272000000,482-259-498-000,719008000000,Regular,Account Team Leader,Romualdez Fredrick ,41850,1500,800,800,20925,249.11,40,40,40,40,160,39858,500,100,1500,150,2250,37608
18San Jose,San Jose,Allison ,6/24/1986,08 Grant Drive Suite 406 Poblacion Iloilo City 9186 La Union,179-075-129,45-3251383-0,745148000000,121-203-336-000,114902000000,Regular,Account Rank and File,Mata Christian,22500,1500,500,500,11250,133.93,40,40,40,40,160,21429,500,100,1500,150,2250,19179
19Rosario,Rosario,Cydney ,10/6/1996,93A/21 Berge Points Tapaz 2180 Quezon,868-819-912,49-1629900-2,579253000000,122-244-511-000,265104000000,Regular,Account Rank and File,Mata Christian,22500,1500,500,500,11250,133.93,40,40,40,40,160,21429,500,100,1500,150,2250,19179
20Bautista,Bautista,Mark ,2/12/1991,65 Murphy Center Suite 094 Poblacion Palayan 5636 Quirino,683-725-348,49-1647342-5,399665000000,273-970-941-000,260055000000,Regular,Account Rank and File,Mata Christian,23250,1500,500,500,11625,138.39,40,40,40,40,160,22142,500,100,1500,150,2250,19892
